,frame,character,emotion,phonem,blinking_choice,eyes_emotion_choice,intensity,eyes_position,mouth_image_path,pause,word,head_direction,screen_mode,background_type,background_name,body_action,body_path,reaction_bool,reaction,zoom,eye_path,head_rotation,head_path,background_path,key
35,35,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I'm,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
36,36,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,I'm,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareMglare_2_RTrueRLplainplainwalltechnicalbody350m_b_close_s1.5
37,37,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,I'm,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareMglare_2_RTrueRLplainplainwalltechnicalbody350m_b_close_s1.5
38,38,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,I'm,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareMglare_2_RTrueRLplainplainwalltechnicalbody350m_b_close_s1.5
39,39,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,I'm,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareMglare_2_RTrueRLplainplainwalltechnicalbody350m_b_close_s1.5
40,40,9,glare,K,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareKglare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
41,41,9,glare,K,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareKglare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
42,42,9,glare,K,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareKglare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
43,43,9,glare,EY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareEY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
44,44,9,glare,EY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareEY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
45,45,9,glare,EY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareEY1glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
46,46,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareMglare_2_RTrueRLplainplainwalltechnicalbody350m_b_close_s1.5
47,47,9,glare,M,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareMglare_2_RTrueRLplainplainwalltechnicalbody350m_b_close_s1.5
48,48,9,glare,AH0,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAH0glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
49,49,9,glare,AH0,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAH0glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
50,50,9,glare,L,not_blinking,glare,True,R,./images/mouth/character_9/sad/l_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareLglare_2_RTrueRLplainplainwalltechnicalbody350l_s1.5
51,51,9,glare,L,not_blinking,glare,True,R,./images/mouth/character_9/sad/l_s.png,False,kamal,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareLglare_2_RTrueRLplainplainwalltechnicalbody350l_s1.5
52,52,9,sad,,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9sadnanglare_2_RTrueRLplainplainwalltechnicalbody350m_b_close_s1.5
53,53,9,glare,AH0,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,and,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAH0glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
54,54,9,glare,AH0,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,and,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAH0glare_2_RTrueRLplainplainwalltechnicalbody350a_e_s1.5
55,55,9,glare,N,not_blinking,glare,True,R,./images/mouth/character_9/sad/th_s.png,False,and,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareNglare_2_RTrueRLplainplainwalltechnicalbody350th_s1.5
56,56,9,glare,N,not_blinking,glare,True,R,./images/mouth/character_9/sad/th_s.png,False,and,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareNglare_2_RTrueRLplainplainwalltechnicalbody350th_s1.5
57,57,9,glare,D,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,and,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareDglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
58,58,9,glare,D,not_blinking,glare,True,R,./images/mouth/character_9/sad/d_j_ch_s.png,False,and,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,0,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareDglare_2_RTrueRLplainplainwalltechnicalbody350d_j_ch_s1.5
59,59,9,sad,,not_blinking,glare,True,R,./images/mouth/character_9/sad/m_b_close_s.png,True,,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9sadnanglare_2_RTrueRLplainplainwalltechnicalbody35-1m_b_close_s1.5
60,60,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody35-1a_e_s1.5
61,61,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody35-1a_e_s1.5
62,62,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody35-1a_e_s1.5
63,63,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody35-1a_e_s1.5
64,64,9,glare,AY1,not_blinking,glare,True,R,./images/mouth/character_9/sad/a_e_s.png,False,I,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_R.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAY1glare_2_RTrueRLplainplainwalltechnicalbody35-1a_e_s1.5
65,65,9,glare,L,not_blinking,glare,True,M,./images/mouth/character_9/sad/l_s.png,False,love,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_M.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareLglare_2_MTrueMLplainplainwalltechnicalbody35-1l_s1.5
66,66,9,glare,L,not_blinking,glare,True,M,./images/mouth/character_9/sad/l_s.png,False,love,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_M.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareLglare_2_MTrueMLplainplainwalltechnicalbody35-1l_s1.5
67,67,9,glare,L,not_blinking,glare,True,M,./images/mouth/character_9/sad/l_s.png,False,love,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_M.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareLglare_2_MTrueMLplainplainwalltechnicalbody35-1l_s1.5
68,68,9,glare,AH1,not_blinking,glare,True,M,./images/mouth/character_9/sad/a_e_s.png,False,love,L,plain,plain,wall,technical,./images/body/character_9/technical/body35.png,False,glare,1.5,./images/eyes/character_9/side_eyes/glare_2/glare_2_M.png,-1,./images/head/character_9/L.png,./images/background/plain/character_9/wall.png,9glareAH1glare_2_MTrueMLplainplainwalltechnicalbody35-1a_e_s1.5
