frame,character,emotion,phonem,blinking_choice,eyes_emotion_choice,intensity,eyes_position,mouth_image_path,pause,word,head_direction,screen_mode,background_type,background_name,body_action,body_path,reaction_bool,reaction,zoom
149,9,happy,OW1,not_blinking,happy,True,L,./images/mouth/character_9/happy/o_small_h.png,False,own,M,plain,plain,wall,explain,,False,happy,1.5
150,9,happy,OW1,not_blinking,happy,True,L,./images/mouth/character_9/happy/o_small_h.png,False,own,M,plain,plain,wall,explain,,False,happy,1.5
151,9,happy,OW1,not_blinking,happy,True,L,./images/mouth/character_9/happy/o_small_h.png,False,own,M,plain,plain,wall,explain,,False,happy,1.5
152,9,happy,OW1,not_blinking,happy,True,L,./images/mouth/character_9/happy/o_small_h.png,False,own,M,plain,plain,wall,explain,,False,happy,1.5
153,9,happy,N,not_blinking,happy,True,L,./images/mouth/character_9/happy/th_h.png,False,own,M,plain,plain,wall,explain,,False,happy,1.5
154,9,happy,N,not_blinking,happy,True,L,./images/mouth/character_9/happy/th_h.png,False,own,M,plain,plain,wall,explain,,False,happy,1.5
155,9,happy,N,not_blinking,happy,True,L,./images/mouth/character_9/happy/th_h.png,False,own,M,plain,plain,wall,explain,,False,happy,1.5
156,9,happy,,not_blinking,happy,True,L,./images/mouth/character_9/happy/m_b_close_h.png,True,,M,plain,plain,wall,explain,,False,happy,1.5
157,9,happy,AE2,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
158,9,happy,AE2,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
159,9,happy,N,not_blinking,happy,True,L,./images/mouth/character_9/happy/th_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
160,9,happy,AH0,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
161,9,happy,AH0,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
162,9,happy,M,not_blinking,happy,True,L,./images/mouth/character_9/happy/m_b_close_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
163,9,happy,M,not_blinking,happy,True,L,./images/mouth/character_9/happy/m_b_close_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
164,9,happy,EY1,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
165,9,happy,EY1,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
166,9,happy,SH,not_blinking,happy,True,L,./images/mouth/character_9/happy/d_j_ch_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
167,9,happy,SH,not_blinking,happy,True,L,./images/mouth/character_9/happy/d_j_ch_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
168,9,happy,,not_blinking,happy,True,L,./images/mouth/character_9/happy/m_b_close_h.png,True,,M,plain,plain,wall,explain,,False,happy,1.5
169,9,happy,AE2,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
170,9,happy,AE2,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
171,9,happy,N,not_blinking,happy,True,L,./images/mouth/character_9/happy/th_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
172,9,happy,AH0,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
173,9,happy,AH0,not_blinking,happy,True,L,./images/mouth/character_9/happy/a_e_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
174,9,happy,M,not_blinking,happy,True,L,./images/mouth/character_9/happy/m_b_close_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
175,9,happy,M,not_blinking,happy,True,L,./images/mouth/character_9/happy/m_b_close_h.png,False,animation,M,plain,plain,wall,explain,,False,happy,1.5
